location,abbreviation,location_name,population,threshold_1,threshold_2,threshold_3
US,US,US,332200066,8305,16610,24915
01,AL,Alabama,5063778,126,253,379
02,AK,Alaska,711426,17,35,53
04,AZ,Arizona,7341018,183,367,550
05,AR,Arkansas,3041878,76,152,228
06,CA,California,38886551,972,1944,2916
08,CO,Colorado,5803748,145,290,435
09,CT,Connecticut,3621089,90,181,271
10,DE,Delaware,1014872,25,50,76
11,DC,District of Columbia,668576,16,33,50
12,FL,Florida,22183852,554,1109,1663
13,GA,Georgia,10855454,271,542,814
15,HI,Hawaii,1398977,34,69,104
16,ID,Idaho,1935521,48,96,145
17,IL,Illinois,12563096,314,628,942
18,IN,Indiana,6831941,170,341,512
19,IA,Iowa,3200224,80,160,240
20,KS,Kansas,2916451,72,145,218
21,KY,Kentucky,4494379,112,224,337
22,LA,Louisiana,4575074,114,228,343
23,ME,Maine,1384543,34,69,103
24,MD,Maryland,6133130,153,306,459
25,MA,Massachusetts,6978662,174,348,523
26,MI,Michigan,10032075,250,501,752
27,MN,Minnesota,5716548,142,285,428
28,MS,Mississippi,2927305,73,146,219
29,MO,Missouri,6164537,154,308,462
30,MT,Montana,1119563,27,55,83
31,NE,Nebraska,1961505,49,98,147
32,NV,Nevada,3165539,79,158,237
33,NH,New Hampshire,1394692,34,69,104
34,NJ,New Jersey,9254137,231,462,694
35,NM,New Mexico,2100079,52,105,157
36,NY,New York,19657190,491,982,1474
37,NC,North Carolina,10596562,264,529,794
38,ND,North Dakota,772061,19,38,57
39,OH,Ohio,11749303,293,587,881
40,OK,Oklahoma,4001266,100,200,300
41,OR,Oregon,4238665,105,211,317
42,PA,Pennsylvania,12969276,324,648,972
44,RI,Rhode Island,1090390,27,54,81
45,SC,South Carolina,5246039,131,262,393
46,SD,South Dakota,906458,22,45,67
47,TN,Tennessee,7030607,175,351,527
48,TX,Texas,29914599,747,1495,2243
49,UT,Utah,3376238,84,168,253
50,VT,Vermont,646910,16,32,48
51,VA,Virginia,8583866,214,429,643
53,WA,Washington,7735834,193,386,580
54,WV,West Virginia,1774977,44,88,133
55,WI,Wisconsin,5891022,147,294,441
56,WY,Wyoming,578583,14,28,43
72,PR,Puerto Rico,3221789,80,161,241
